,0,1,2,3,4
0,2716.8801,2745.9758,2681.8018,2712.8572,40261.58
1,2660.216,2688.2544,2624.9675,2655.7605,40931.453
2,2653.7903,2681.9202,2618.5085,2649.4775,40852.402
3,2620.595,2648.4226,2585.3225,2616.303,41158.96
4,2617.709,2645.78,2582.5415,2613.66,41081.68
5,2593.276,2621.1907,2558.226,2589.2993,41350.754
6,2566.7231,2594.513,2531.8206,2562.8633,41662.293
7,2577.6672,2605.8904,2542.9507,2574.1072,41500.676
8,2589.3428,2617.813,2554.7778,2585.9138,41404.24
9,2581.452,2609.7896,2546.9758,2577.9841,41591.53
10,2616.9893,2645.834,2582.5815,2613.6814,41191.3
11,2665.6099,2694.9087,2631.1895,2662.2983,40675.35
12,2695.0127,2724.3142,2660.466,2691.4626,40424.758
13,2763.0168,2792.817,2728.274,2759.3154,39663.406
14,2759.6167,2788.7812,2724.5442,2755.4058,39785.48
15,2780.599,2809.7395,2745.2344,2776.1882,39490.496
16,2765.9895,2794.6726,2730.3374,2761.315,39598.1
17,2630.3916,2657.2185,2594.491,2625.237,41159.98
18,2578.896,2605.8103,2543.0881,2574.2336,41487.46
19,2551.1704,2578.4475,2515.6406,2547.0466,41611.918
20,2818.1897,2849.4526,2783.1277,2815.1843,38269.504
21,2860.4094,2890.9622,2825.2102,2856.441,38190.12
22,2787.44,2816.1553,2751.8933,2782.55,39296.5
23,2732.6592,2760.5679,2696.8594,2727.5505,39904.844
24,2762.8423,2791.398,2726.966,2758.0405,39366.934
25,2741.8708,2770.1204,2705.9111,2736.996,39549.695
26,2715.678,2743.698,2679.7192,2710.8347,39780.594
27,2705.4463,2733.554,2669.569,2700.772,39813.21
28,2693.4207,2721.5566,2657.6572,2688.8794,39908.766
29,2691.256,2719.5396,2655.6306,2686.8674,39912.04
